"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3188",108,"RT @Late__Smith: Fuck iPhones team #Galaxy all day",FALSE,0,NA,"2014-03-19 21:43:06",FALSE,NA,"446401500806672385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taylorsherrod2",20,TRUE,FALSE,NA,NA
"669",73,"@TechRax why #galaxy? @samsung has stolen it all from #Apple!!! #GalaxyS5",FALSE,0,"TechRax","2014-03-19 07:13:57",FALSE,"446181553232547840","446182771342725120",872476255,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xtiger11",0,FALSE,FALSE,NA,NA
"2534",47,"RT @tyleronemo: British Colombia CAN Richmond ¬ª http://t.co/djUhSOock5  7 Russian troops take Crimean base Crimea tyleronemo  #samsung #gal‚Ä¶",FALSE,0,NA,"2014-03-23 22:11:10",FALSE,NA,"447858118542622720",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","usa_ella",12,TRUE,FALSE,NA,NA
"821",126,"RT @VictorianSteam: Will the #Eiffel Tower be a hit? Koechlin and Nouguier can only guess #paris #iPad #Sony #Samsung #Galaxy #SXSW http://‚Ä¶",FALSE,0,NA,"2014-03-17 19:32:59",FALSE,NA,"445643983079755776",NA,"web","LincolnsBoombox",1,TRUE,FALSE,NA,NA
"2466",77,"RT @boutthatkimk: So much good #Galaxy",FALSE,0,NA,"2014-03-21 21:58:21",FALSE,NA,"447130113889415168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FkigfNatalie",151,TRUE,FALSE,NA,NA
"2313",123,"Perfect combination #chocolate #strawberries #galaxy #heaven http://t.co/vMS9nbVwxI",FALSE,0,NA,"2014-03-19 21:10:50",FALSE,NA,"446393382945169409",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","chloeinkson",0,FALSE,FALSE,NA,NA
"299",2,"For some of you this is a late post but here it is anyway. #GalaxyGear #Galaxy #Gear #Watch‚Ä¶ http://t.co/qapx8QsvL8",FALSE,0,NA,"2014-03-17 23:53:54",FALSE,NA,"445709641386061824",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Buffolino",0,FALSE,FALSE,NA,NA
"2749",64,"RT @KellyAngel94: #LIVE http://t.co/ZF3TkbA1v7 Ì†ºÌºå‚ú® #galaxy @BabesPromo @Onlybadchicks @Her_Hotties @sofia13_sketube http://t.co/9DkHQmKYNI",FALSE,0,NA,"2014-03-23 22:05:19",FALSE,NA,"447856643754426368",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","juann_jvdb",29,TRUE,FALSE,NA,NA
"1800",208,"Nails &lt;3. #photo #galaxy #yeah #followme #happy #winter #love #nails #black #beige #hand #instaphoto http://t.co/MbfLp9aLPG",FALSE,0,NA,"2014-03-17 17:17:35",FALSE,NA,"445609908579614720",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dark_Burn11",0,FALSE,FALSE,NA,NA
"2401",12,"Intricately beautiful representation of the Pinwheel #Galaxy by the #Hubble Space Telescope, http://t.co/lTGmtHF7HH",FALSE,0,NA,"2014-03-21 23:32:20",FALSE,NA,"447153766715113472",NA,"<a href=""http://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","troycap",0,FALSE,FALSE,NA,NA
"1779",187,"Unlocked iPhones &amp; Samsung Galaxy phones now available in major US cities http://t.co/u6dF1scG0b #iphone #galaxy #Miami #NewJersey",FALSE,0,NA,"2014-03-17 18:01:48",FALSE,NA,"445621032809136128",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","expertz_ca",0,FALSE,FALSE,NA,NA
"3724",51,"Victoria secret needs to come up with a galaxy bikini!  Ì†ΩÌ∏ãÌ†ΩÌ∏çÌ†ΩÌ∏ä #Galaxy #victoriasecret #js",FALSE,0,NA,"2014-03-24 21:32:37",FALSE,NA,"448210803251216384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sheyenneeee13",0,FALSE,FALSE,NA,NA
"4009",37,"Nobody looks more haggard than Adam Schefter on #FreeAgency opening day #iphone #Galaxy #Blackberry ringing off the fritz on a hr of sleep!",FALSE,0,NA,"2014-03-25 22:40:37",FALSE,NA,"448590301771624448",NA,"web","Hadley_Mcconnel",0,FALSE,FALSE,NA,NA
"2451",62,"#Purp #Galaxy #Outfit http://t.co/FypOBhuK6V",FALSE,0,NA,"2014-03-21 22:14:38",FALSE,NA,"447134214497239040",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DawnteHawkings",0,FALSE,FALSE,NA,NA
"2925",141,"#iPhone #App #Chameleon #- #Free #Music #Downloader - #Music #white #people #meet #samsung #galaxy #htc #8s #l... http://t.co/cuWI3X3vjf",FALSE,0,NA,"2014-03-26 03:38:01",FALSE,NA,"448665146286567425",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","bella_blau",0,FALSE,FALSE,NA,NA
"715",20,"#cjs #mono #mario #tablet #galaxy http://t.co/PStqEjjyB2",FALSE,0,NA,"2014-03-17 23:06:31",FALSE,NA,"445697717642493952",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ommmy5",0,FALSE,FALSE,NA,NA
"1731",139,"I start to play Friday #lol #geek #paris #ps3 #gamer #psvita #player #tokyo #pc #galaxy #note #2‚Ä¶ http://t.co/DSRO6t88CV",FALSE,0,NA,"2014-03-17 19:22:07",FALSE,NA,"445641244686180353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","0takudo",0,FALSE,FALSE,NA,NA
"3688",15,"Unlocked iPhones &amp; Samsung Galaxy phones now available in major US cities http://t.co/u6dF1scG0b #iphone #galaxy #NewYork #LosA...",FALSE,0,NA,"2014-03-24 23:33:59",FALSE,NA,"448241347183771648",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","expertz_ca",0,FALSE,FALSE,NA,NA
"3599",25,"Watching motogp in bed with chocolate does life get any better #MotoGP #Rossi  #Galaxy",FALSE,0,NA,"2014-03-23 22:38:40",FALSE,NA,"447865037525626880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MorvenBrown",0,FALSE,FALSE,NA,NA
"1446",153,"#iran #2013 #bahrain #samsung #galaxy #s3 #haram #sayeda #Masoma #Qom #yadsh_bkhair #taken #by #me http://t.co/n9n4qiVQ68",FALSE,0,NA,"2014-03-17 18:55:34",FALSE,NA,"445634566754406400",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Aghuloom1512",0,FALSE,FALSE,NA,NA
